"Libellé";"PIB en euros par habitant - La Réunion";"Codes"
"idBank";"010751784";""
"Dernière mise à jour";"16/04/2024 17:44";""
"Période";"";""
"2022";"24663";"A"
"2021";"23360";"SD"
"2020";"21949";"A"
"2019";"22463";"A"
"2018";"21922";"A"
"2017";"21707";"A"
"2016";"21171";"A"
"2015";"20608";"A"
"2014";"20045";"A"
"2013";"19701";"A"
"2012";"19630";"A"
"2011";"19335";"A"
"2010";"18629";"A"
"2009";"18637";"A"
"2008";"19513";"A"
"2007";"18937";"A"
"2006";"17992";"A"
"2005";"17085";"A"
"2004";"16216";"A"
"2003";"15384";"A"
"2002";"14746";"A"
"2001";"14000";"A"
"2000";"13218";"A"
