"Libellé";"PIB en euros par habitant - Mayotte";"Codes"
"idBank";"010751785";""
"Dernière mise à jour";"16/04/2024 17:44";""
"Période";"";""
"2022";"11579";"A"
"2021";"10735";"SD"
"2020";"9983";"A"
"2019";"9753";"A"
"2018";"9262";"A"
"2017";"9494";"A"
"2016";"8992";"A"
"2015";"8789";"A"
"2014";"8137";"A"
"2013";"";"O"
"2012";"";"O"
"2011";"";"O"
"2010";"";"O"
"2009";"";"O"
"2008";"";"O"
"2007";"";"O"
"2006";"";"O"
"2005";"";"O"
"2004";"";"O"
"2003";"";"O"
"2002";"";"O"
"2001";"";"O"
"2000";"";"O"
